question_name,question_link,type,difficulty,,,,,,
Count number of elements between two given elements in array,https://www.geeksforgeeks.org/problems/count-number-of-elements-between-two-given-elements-in-array4044/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Medium,,,,,,
Anagram Palindrome,https://www.geeksforgeeks.org/problems/anagram-palindrome4720/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Easy,,,,,,
Repeated Character,https://www.geeksforgeeks.org/problems/repeated-character2058/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Easy,,,,,,
Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,HomeWork,Easy,,,,,,
Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays/,HomeWork,Easy,,,,,,
Intersection of Two Arrays II,https://leetcode.com/problems/intersection-of-two-arrays-ii/,HomeWork,Medium,,,,,,
Find the Difference,https://leetcode.com/problems/find-the-difference/,HomeWork,Easy,,,,,,
Find distinct elements,https://www.geeksforgeeks.org/problems/find-distinct-elements--130928/1,ClassWork,Easy,,,,,,
Remove duplicates in array,https://www.geeksforgeeks.org/problems/remove-duplicates-in-small-prime-array/1,HomeWork,Easy,,,,,,
Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/,HomeWork,Easy,,,,,,
Sum of Unique Elements,https://leetcode.com/problems/sum-of-unique-elements/,HomeWork,Easy,,,,,,
Majority Element,https://leetcode.com/problems/majority-element/,HomeWork,Easy,,,,,,
Ransom Note,https://leetcode.com/problems/ransom-note/,HomeWork,Easy,,,,,,
Longest Palindrome,https://leetcode.com/problems/longest-palindrome/,HomeWork,Easy,,,,,,
Subarray with 0 sum,https://www.geeksforgeeks.org/problems/subarray-with-0-sum-1587115621/1,ClassWork,Medium,,,,,,
Largest subarray with 0 sum,https://www.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1,ClassWork,Medium,,,,,,
Contiguous Array,https://leetcode.com/problems/contiguous-array/,ClassWork,Medium,,,,,,
Two Sum,https://leetcode.com/problems/two-sum/,ClassWork,Medium,,,,,,
Zero Sum Subarrays,https://www.geeksforgeeks.org/problems/zero-sum-subarrays1825/1,HomeWork,Medium,,,,,,
Count pairs with given sum,https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum--150253/1,ClassWork,Medium,,,,,,
Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/,HomeWork,Medium,,,,,,
Pairs with difference k,https://www.geeksforgeeks.org/problems/pairs-with-difference-k1713/1,HomeWork,Medium,,,,,,
Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,ClassWork,Medium,,,,,,
Count distinct elements in every window,https://www.geeksforgeeks.org/problems/count-distinct-elements-in-every-window/1,ClassWork,Medium,,,,,,
Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,HomeWork,Medium,,,,,,
Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k/,HomeWork,Medium,,,,,,
Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,ClassWork,Medium,,,,,,
Length of the Longest Alphabetical Continuous Substring,https://leetcode.com/problems/length-of-the-longest-alphabetical-continuous-substring/,HomeWork,Medium,,,,,,
Number of Zero-Filled Subarrays,https://leetcode.com/problems/number-of-zero-filled-subarrays/,HomeWork,Medium,,,,,,
Find the Maximum Number of Elements in Subset,https://leetcode.com/problems/find-the-maximum-number-of-elements-in-subset/,HomeWork,Hard,,,,,,
Factorial,https://www.geeksforgeeks.org/problems/factorial5739/1,ClassWork,Easy,,,,,,
Print N to 1 without loop,https://www.geeksforgeeks.org/problems/print-n-to-1-without-loop/0,ClassWork,Easy,,,,,,
Print 1 to n without using loops,https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops3621/1,ClassWork,Easy,,,,,,
Print GFG n times,https://www.geeksforgeeks.org/problems/print-gfg-n-times/0,ClassWork,Easy,,,,,,
Power Using Recursion,https://www.geeksforgeeks.org/problems/power-using-recursion/1?page=1&category=Recursion&sortBy=difficulty,HomeWork,Easy,,,,,,
Sum of Digits of a Number,https://www.geeksforgeeks.org/problems/sum-of-digits-of-a-number/1?page=1&category=Recursion&sortBy=difficulty,HomeWork,Easy,,,,,,
Count Total Digits in a Number,https://www.geeksforgeeks.org/problems/count-total-digits-in-a-number/1?page=1&category=Recursion&sortBy=difficulty,HomeWork,Easy,,,,,,
Recursive sequence,https://www.geeksforgeeks.org/problems/recursive-sequence1611/1?page=1&category=Recursion&sortBy=difficulty,HomeWork,Hard,,,,,,
Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,ClassWork,Easy,,,,,,
G.F Series,https://www.geeksforgeeks.org/problems/gf-series3535/1?page=1&category=Recursion&sortBy=difficulty,ClassWork,Easy,,,,,,
Count Total Digits in a Number,https://www.geeksforgeeks.org/problems/count-total-digits-in-a-number/1?page=1&category=Recursion&sortBy=difficulty,ClassWork,Easy,,,,,,
Digital Root,https://www.geeksforgeeks.org/problems/digital-root/1?page=1&category=Recursion&sortBy=difficulty,ClassWork,Medium,,,,,,
"Pow(x, n)",https://leetcode.com/problems/powx-n/,ClassWork,Hard,,,,,,
Recamans sequence,https://www.geeksforgeeks.org/problems/recamans-sequence4856/1?page=1&category=Recursion&sortBy=difficulty,ClassWork,Hard,,,,,,
Print Pattern,https://www.geeksforgeeks.org/problems/print-pattern3549/1?page=1&category=Recursion&sortBy=difficulty,HomeWork,Medium,,,,,,
Josephus problem,https://www.geeksforgeeks.org/problems/josephus-problem/1?page=1&category=Recursion&sortBy=difficulty,HomeWork,Hard,,,,,,
Juggler Sequence,https://www.geeksforgeeks.org/problems/juggler-sequence3930/1?page=1&category=Recursion&sortBy=difficulty,HomeWork,Hard,,,,,,
REC_CMPL1,https://www.interviewbit.com/problems/reccmpl1/,ClassWork,Hard,,,,,,
REC_CMPL2,https://www.interviewbit.com/problems/reccmpl2/,ClassWork,Hard,,,,,,
REC_CMPL3,https://www.interviewbit.com/problems/reccmpl3/,ClassWork,Hard,,,,,,
Tower Of Hanoi,https://www.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,ClassWork,Easy,,,,,,
Modular Exponentiation,https://www.geeksforgeeks.org/problems/modular-exponentiation-for-large-numbers5537/1,ClassWork,Easy,,,,,,
Super Pow,https://leetcode.com/problems/super-pow/,HomeWork,Medium,,,,,,
Bubble Sort,https://www.geeksforgeeks.org/problems/bubble-sort/1,ClassWork,Easy,,,,,,
Selection Sort,https://www.geeksforgeeks.org/problems/selection-sort/1,ClassWork,Easy,,,,,,
Maximum product of two numbers,https://www.geeksforgeeks.org/problems/maximum-product-of-two-numbers2730/1,HomeWork,Easy,,,,,,
Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers/,HomeWork,Medium,,,,,,
Minimum Product of k Integers,https://www.geeksforgeeks.org/problems/minimum-product-of-k-integers2553/1?page=1&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Stable Sort and Position,https://www.geeksforgeeks.org/problems/stable-sort-and-position1359/1?page=1&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Maximum Perimeter of Triangle from array,https://www.geeksforgeeks.org/problems/maximum-perimeter-of-triangle-from-array4322/1?page=1&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Largest three distinct elements,https://www.geeksforgeeks.org/problems/largest-three-distinct-elements/1?page=2&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Insertion Sort,https://www.geeksforgeeks.org/problems/insertion-sort/1,ClassWork,Easy,,,,,,
Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/description/,ClassWork,Medium,,,,,,
Merging two unsorted arrays in sorted order,https://www.geeksforgeeks.org/problems/merging-two-unsorted-arrays-in-sorted-order1020/1?page=2&category=Sorting&sortBy=difficulty,ClassWork,Medium,,,,,,
Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,HomeWork,Medium,,,,,,
Merge and Sort,https://www.geeksforgeeks.org/problems/merge-and-sort5821/1?page=1&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
Intersection of Two arrays with Duplicate Elements,https://www.geeksforgeeks.org/problems/intersection-of-two-arrays-with-duplicate-elements/1?page=2&category=Sorting&sortBy=difficulty,HomeWork,Easy,,,,,,
